Name	Index Year	Overall Score	Business Freedom	Trade Freedom	Fiscal Freedom	Government Spending	Monetary Freedom	Investment Freedom	Financial Freedom	Property Rights	Freedom From Corruption	Labor Freedom
Chad	2007	50,1	49,0	59,2	49,8	93,8	77,7	40,0	50,0	20,0	17,0	44,3
Chile	2007	77,7	68,2	82,4	78,8	87,9	79,8	70,0	70,0	90,0	73,0	77,0
China	2007	52,0	46,9	68,0	66,6	87,0	75,5	30,0	30,0	20,0	32,0	64,2
Colombia	2007	59,9	71,8	71,4	71,7	70,2	70,3	50,0	60,0	30,0	40,0	63,5
Comoros	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"Costa Rica "	2007	64,0	59,0	82,4	83,0	86,4	67,1	70,0	40,0	50,0	42,0	60,1
"Côte d'Ivoire "	2007	54,9	48,1	63,6	52,1	87,8	78,6	40,0	70,0	30,0	19,0	59,9
Croatia	2007	53,4	54,2	87,8	69,9	24,4	79,3	50,0	60,0	30,0	34,0	44,5
Cuba	2007	28,6	10,0	60,2	51,7	10,0	65,8	10,0	10,0	10,0	38,0	20,0
Cyprus	2007	71,7	70,0	81,6	79,4	44,8	84,7	70,0	70,0	90,0	57,0	70,0
Czech Republic	2007	67,4	61,1	86,6	69,9	47,1	86,3	70,0	80,0	70,0	43,0	59,7
Democratic Republic of Congo	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Denmark	2007	77,0	94,8	86,6	34,2	12,8	86,8	80,0	90,0	90,0	95,0	99,9
Djibouti	2007	52,4	38,3	36,4	80,5	60,0	79,0	50,0	60,0	30,0	30,0	59,3
Dominica	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dominican Republic	2007	56,8	56,7	73,8	79,7	90,2	63,2	50,0	40,0	30,0	30,0	54,2
Ecuador	2007	55,3	58,8	67,0	86,5	81,7	74,5	30,0	60,0	30,0	25,0	39,8
Egypt	2007	54,4	40,9	57,2	90,4	72,8	66,8	50,0	30,0	40,0	34,0	62,1
"El Salvador "	2007	68,9	60,2	76,6	83,5	90,0	77,7	70,0	70,0	50,0	42,0	69,0
Equatorial Guinea	2007	53,2	48,2	57,6	75,4	84,1	80,1	30,0	60,0	30,0	19,0	47,0
Eritrea	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Estonia	2007	78,0	79,9	86,6	84,5	61,8	83,0	90,0	90,0	90,0	64,0	49,7
Ethiopia	2007	53,6	59,4	63,0	77,2	81,3	71,8	50,0	20,0	30,0	22,0	61,5
Fiji	2007	60,8	70,4	71,8	75,5	71,0	74,7	30,0	60,0	30,0	40,0	84,7
Finland	2007	74,0	95,3	86,6	63,1	23,5	89,9	70,0	80,0	90,0	96,0	45,6
France	2007	62,1	87,2	81,6	46,3	13,5	81,0	50,0	60,0	70,0	75,0	56,1
Gabon	2007	54,8	53,3	56,4	61,3	85,9	81,6	40,0	40,0	40,0	29,0	60,1
Georgia	2007	69,3	80,8	71,8	91,2	88,4	77,8	60,0	70,0	30,0	23,0	99,9
Germany	2007	70,8	88,9	86,6	61,4	33,7	81,5	90,0	50,0	90,0	82,0	44,2
Ghana	2007	57,6	54,9	63,0	82,5	66,7	70,1	50,0	50,0	50,0	40,0	48,4
Greece	2007	58,7	69,7	81,6	62,4	53,4	78,4	50,0	40,0	50,0	43,0	58,0
"Guatemala "	2007	60,5	52,3	80,2	79,8	96,1	71,6	50,0	60,0	30,0	25,0	59,6
Guinea	2007	54,5	40,9	59,6	74,3	91,8	57,5	30,0	60,0	30,0	30,0	70,5
Guinea-Bissau	2007	46,1	27,2	57,8	82,9	51,0	80,7	40,0	40,0	20,0	10,0	51,6
Guyana	2007	53,7	57,0	67,0	67,1	34,3	74,1	50,0	60,0	40,0	25,0	62,5
Haiti	2007	51,4	38,6	79,2	78,0	95,2	62,2	30,0	40,0	10,0	18,0	62,6
"Honduras "	2007	59,1	56,1	79,2	81,8	82,6	71,5	50,0	70,0	30,0	26,0	44,0
Hong Kong	2007	89,9	88,4	95,0	92,9	91,9	91,6	90,0	90,0	90,0	83,0	86,3
"Hungary "	2007	64,8	70,2	86,6	68,8	26,8	76,6	70,0	60,0	70,0	50,0	68,7
Iceland	2007	76,0	94,9	84,0	73,5	41,7	82,9	60,0	70,0	90,0	97,0	66,2
India	2007	53,9	50,8	51,2	76,0	71,4	77,2	40,0	30,0	50,0	29,0	63,2
Indonesia	2007	53,2	48,2	74,0	77,5	89,1	70,9	30,0	40,0	30,0	22,0	50,1
Iran	2007	45,0	55,4	55,4	81,2	84,5	62,0	10,0	10,0	10,0	29,0	52,5
Iraq	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ireland	2007	82,6	92,1	86,6	71,7	65,9	85,3	90,0	90,0	90,0	74,0	80,6
Israel	2007	64,8	69,4	85,2	58,0	33,4	84,2	70,0	50,0	70,0	63,0	64,8
Italy	2007	62,8	77,0	81,6	52,8	31,5	80,5	70,0	60,0	50,0	50,0	74,4
"Jamaica "	2007	65,5	82,0	70,4	75,1	61,8	71,0	80,0	60,0	50,0	36,0	68,5
Japan	2007	72,7	91,2	80,2	70,9	58,3	90,9	60,0	50,0	70,0	73,0	83,0
Jordan	2007	64,5	54,9	74,2	83,2	57,4	83,5	50,0	60,0	50,0	57,0	74,6
Kazakhstan	2007	59,6	58,5	69,2	81,4	83,7	72,9	30,0	60,0	30,0	26,0	84,3
Kenya	2007	59,6	64,5	75,0	78,9	82,1	74,4	50,0	50,0	40,0	21,0	59,9
Kiribati	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kuwait	2007	66,4	70,7	77,2	99,9	60,7	78,8	50,0	50,0	50,0	47,0	80,1
"Kyrgyz Republic "	2007	60,2	59,9	81,4	92,7	77,1	77,1	40,0	50,0	30,0	23,0	71,1
Laos	2007	50,3	52,1	60,8	70,8	92,8	71,3	30,0	20,0	10,0	33,0	62,5
Latvia	2007	67,9	74,5	86,6	83,9	61,3	74,2	70,0	70,0	50,0	42,0	66,9
Lebanon	2007	60,4	56,6	77,4	93,9	64,3	88,4	30,0	70,0	30,0	31,0	62,3
Lesotho	2007	53,2	68,2	54,4	69,3	44,3	77,1	30,0	50,0	40,0	34,0	64,6
Liberia	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Libya	2007	37,0	20,0	39,6	81,7	43,8	80,1	30,0	20,0	10,0	25,0	20,0
Liechtenstein	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lithuania	2007	71,5	84,3	86,6	86,5	70,8	81,1	70,0	80,0	50,0	48,0	57,3
Luxembourg	2007	74,6	76,9	86,6	65,3	44,0	80,2	90,0	80,0	90,0	85,0	47,8
Macau	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macedonia	2007	60,6	60,1	83,4	85,0	60,9	90,7	50,0	60,0	30,0	27,0	58,8
Madagascar	2007	61,1	51,2	82,8	80,8	81,1	70,0	70,0	50,0	50,0	28,0	47,2
Malawi	2007	52,9	54,4	64,6	71,0	45,3	68,2	50,0	50,0	40,0	28,0	57,3
"Malaysia "	2007	63,8	67,6	76,8	81,8	78,9	80,1	40,0	40,0	50,0	51,0	72,0
Maldives	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mali	2007	54,7	38,1	68,6	69,3	81,3	78,4	50,0	40,0	30,0	29,0	62,5
Malta	2007	66,1	70,0	86,6	61,1	27,7	80,0	50,0	70,0	90,0	66,0	60,0
Mauritania	2007	53,6	37,5	71,4	75,5	57,4	73,9	60,0	50,0	30,0	30,0	50,6
Mauritius	2007	69,4	73,3	80,0	81,3	79,7	75,8	70,0	60,0	60,0	42,0	71,7
Mexico	2007	66,0	83,5	77,6	82,2	83,4	77,0	50,0	60,0	50,0	35,0	61,7
Micronesia	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Moldova	2007	58,7	68,1	79,4	85,6	62,8	68,0	30,0	50,0	50,0	29,0	64,4
Mongolia	2007	60,3	70,8	80,0	72,8	54,1	74,9	60,0	60,0	30,0	30,0	70,9
Montenegro	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morocco	2007	56,4	74,6	61,0	63,2	78,1	83,2	70,0	40,0	30,0	32,0	31,4
"Mozambique "	2007	54,7	48,2	70,2	78,2	82,7	76,5	50,0	50,0	30,0	28,0	32,9
Namibia	2007	63,5	75,7	89,0	67,8	64,9	78,7	40,0	60,0	30,0	43,0	86,1
Nepal	2007	54,4	60,7	61,4	86,6	92,8	81,8	30,0	30,0	30,0	25,0	45,8
New Zealand	2007	81,4	99,9	84,0	61,4	56,5	84,6	70,0	80,0	90,0	96,0	92,1
"Nicaragua "	2007	62,7	56,4	82,4	79,6	78,5	70,9	70,0	60,0	30,0	26,0	73,4
Niger	2007	53,2	38,4	62,4	66,2	86,3	80,6	50,0	50,0	30,0	24,0	44,0
Nigeria	2007	55,6	58,6	61,6	84,2	66,9	69,1	30,0	50,0	30,0	19,0	86,3
North Korea	2007	3,0	0,0	0,0	0,0	0,0	0,0	10,0	0,0	10,0	10,0	0,0
Norway	2007	67,9	91,1	89,2	50,6	37,6	82,5	50,0	50,0	90,0	89,0	49,0
Oman	2007	65,8	56,6	83,8	98,5	52,0	77,5	50,0	50,0	50,0	63,0	76,2
"Pakistan "	2007	57,2	71,6	63,6	73,0	92,3	72,6	50,0	40,0	30,0	21,0	57,4
"Panama "	2007	64,6	72,7	76,2	83,0	89,5	85,8	70,0	60,0	30,0	35,0	43,7
Papua New Guinea	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"Paraguay "	2007	58,3	49,3	77,4	96,7	91,4	78,4	50,0	60,0	30,0	21,0	28,5
Peru	2007	62,7	65,2	72,6	80,2	91,4	85,7	50,0	60,0	40,0	35,0	46,6
Poland	2007	58,1	55,3	86,6	68,6	44,8	80,3	50,0	50,0	50,0	34,0	61,4
Portugal	2007	64,0	78,6	86,6	62,3	35,4	80,4	70,0	50,0	70,0	65,0	41,5
Qatar	2007	62,9	60,0	76,4	99,8	71,4	72,4	30,0	50,0	50,0	59,0	60,0
"Republic of Congo "	2007	44,4	47,3	49,4	59,8	75,5	74,5	30,0	30,0	10,0	23,0	45,0
Romania	2007	61,2	73,2	84,0	85,9	71,0	69,7	50,0	60,0	30,0	30,0	58,0
Russia	2007	52,2	62,0	62,6	79,5	69,5	62,8	30,0	40,0	30,0	24,0	61,5
Rwanda	2007	52,4	51,0	70,6	73,9	79,6	70,3	30,0	40,0	30,0	21,0	58,2
Saint Lucia	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Saint Vincent and the Grenadines	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Samoa	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"São Tomé and Príncipe "	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Saudi Arabia	2007	60,9	53,0	70,4	99,4	66,7	80,0	30,0	40,0	50,0	34,0	84,9
Senegal	2007	58,1	56,4	71,6	60,8	83,9	82,9	50,0	50,0	50,0	32,0	43,2
"Serbia "	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Seychelles	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sierra Leone	2007	47,0	50,5	55,2	73,0	81,5	72,9	30,0	40,0	10,0	24,0	32,7
Singapore	2007	87,1	96,7	90,0	89,5	93,8	89,4	80,0	50,0	90,0	94,0	97,8
Slovakia	2007	69,6	70,7	86,6	89,5	53,7	76,6	70,0	80,0	50,0	43,0	76,1
Slovenia	2007	59,6	72,9	86,6	54,6	30,9	78,9	70,0	50,0	50,0	61,0	41,2
Solomon Islands	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
South Africa	2007	63,5	70,4	73,8	69,7	79,2	78,8	50,0	60,0	50,0	45,0	58,5
South Korea	2007	67,8	84,3	69,2	71,6	76,3	78,9	70,0	50,0	70,0	50,0	57,3
Spain	2007	69,2	78,0	86,6	55,2	54,8	78,5	70,0	80,0	70,0	70,0	49,3
Sri Lanka	2007	59,4	69,2	71,6	78,5	83,4	70,4	30,0	40,0	50,0	32,0	68,9
Sudan	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Suriname	2007	54,8	42,0	65,0	67,8	75,6	69,1	30,0	30,0	50,0	32,0	86,1
Swaziland	2007	60,1	70,4	69,0	72,3	66,1	76,3	50,0	50,0	50,0	27,0	69,8
Sweden	2007	69,3	94,2	81,4	33,1	3,6	83,8	80,0	70,0	90,0	92,0	65,0
Switzerland	2007	78,0	84,1	87,0	67,9	59,8	83,5	70,0	70,0	90,0	91,0	77,0
Syria	2007	48,3	58,4	54,0	82,4	58,3	69,0	30,0	10,0	30,0	34,0	57,0
Taiwan	2007	69,4	71,6	81,6	77,0	86,8	81,3	70,0	50,0	70,0	59,0	47,2
Tajikistan	2007	53,6	39,2	71,0	89,7	87,6	67,0	30,0	40,0	30,0	21,0	60,1
Tanzania	2007	56,8	45,8	73,6	80,6	85,2	77,0	50,0	50,0	30,0	29,0	47,2
"Thailand "	2007	63,5	73,0	74,2	74,8	91,3	77,6	30,0	50,0	50,0	38,0	76,4
The Bahamas	2007	72,0	80,0	38,8	96,6	88,7	76,1	40,0	70,0	80,0	70,0	80,0
The Gambia	2007	57,7	59,4	64,6	72,0	70,8	68,1	50,0	60,0	30,0	27,0	74,7
The Netherlands	2007	75,5	88,4	86,6	48,8	34,9	87,2	90,0	80,0	90,0	86,0	62,7
The Philippines	2007	56,0	53,4	79,8	76,0	89,5	73,4	30,0	50,0	30,0	25,0	52,6
Timor-Leste	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Togo	2007	49,7	37,5	68,4	54,7	92,0	76,5	30,0	30,0	30,0	30,0	47,8
Tonga	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Trinidad and Tobago	2007	70,6	62,7	79,0	82,0	80,6	74,7	70,0	70,0	70,0	38,0	78,9
Tunisia	2007	60,3	78,9	71,8	73,3	78,5	80,1	30,0	30,0	50,0	49,0	61,0
Turkey	2007	57,4	67,4	81,0	69,1	62,4	70,1	50,0	50,0	50,0	35,0	38,8
Turkmenistan	2007	43,0	30,0	79,2	91,7	85,3	65,9	10,0	10,0	10,0	18,0	30,0
Uganda	2007	63,1	57,5	68,8	80,6	83,0	78,0	50,0	70,0	30,0	25,0	87,8
Ukraine	2007	51,5	43,6	77,2	83,6	53,2	68,4	30,0	50,0	30,0	26,0	52,8
United Arab Emirates	2007	62,6	49,3	75,0	99,9	82,3	73,6	30,0	40,0	40,0	62,0	73,9
United Kingdom	2007	79,9	91,2	86,6	62,0	42,7	81,3	90,0	90,0	90,0	86,0	79,0
United States	2007	81,2	91,4	86,6	69,0	60,3	83,8	80,0	80,0	90,0	76,0	94,7
"Uruguay "	2007	68,4	62,2	81,6	86,2	77,8	73,1	70,0	30,0	70,0	59,0	73,9
Uzbekistan	2007	51,5	65,2	68,2	85,0	69,3	58,6	30,0	20,0	30,0	22,0	66,8
Vanuatu	2007	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"Venezuela "	2007	47,9	50,4	61,2	75,6	79,9	57,6	20,0	40,0	30,0	23,0	40,9
Vietnam	2007	49,8	59,6	56,0	74,3	78,6	67,5	30,0	30,0	10,0	26,0	66,3
Yemen	2007	54,1	53,5	66,4	83,2	56,2	68,2	50,0	30,0	30,0	27,0	76,3
Zambia	2007	56,2	63,6	70,8	70,6	78,5	57,8	50,0	50,0	40,0	26,0	54,8
Zimbabwe	2007	32,0	42,0	52,6	68,8	49,6	0,0	10,0	20,0	10,0	26,0	41,1
Afghanistan	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Albania	2006	60,3	54,3	62,4	81,2	75,6	84,5	70,0	70,0	30,0	25,0	50,2
Algeria	2006	55,7	74,8	61,0	73,9	74,4	78,8	50,0	30,0	30,0	27,0	57,4
Angola	2006	43,5	26,8	68,0	84,9	40,1	40,3	30,0	50,0	30,0	20,0	44,9
Argentina	2006	53,4	62,9	67,4	71,5	81,5	71,5	50,0	30,0	30,0	25,0	44,4
Armenia	2006	70,6	77,6	80,6	90,0	90,7	80,6	70,0	70,0	50,0	31,0	65,3
Australia	2006	79,9	90,9	77,4	58,9	62,2	85,0	70,0	90,0	90,0	88,0	86,5
Austria	2006	71,1	82,0	82,4	50,2	23,2	86,4	70,0	70,0	90,0	84,0	72,7
Azerbaijan	2006	53,2	56,7	72,6	80,0	77,8	75,5	30,0	30,0	30,0	19,0	60,4
Bahrain	2006	71,6	80,0	69,6	99,4	73,2	86,3	50,0	90,0	70,0	58,0	40,0
"Bangladesh "	2006	52,9	58,2	48,2	84,1	94,4	74,9	30,0	30,0	30,0	15,0	64,2
Barbados	2006	71,9	90,0	52,0	67,4	58,7	87,7	50,0	70,0	90,0	73,0	80,0
Belarus	2006	47,5	54,4	67,2	78,9	33,2	49,8	30,0	30,0	30,0	33,0	68,2
Belgium	2006	71,8	90,7	82,4	42,8	26,8	81,5	90,0	70,0	90,0	75,0	68,4
Belize	2006	64,7	77,4	58,4	83,9	71,5	84,2	50,0	50,0	50,0	38,0	83,8
Benin	2006	54,0	48,0	59,6	67,3	86,6	83,1	30,0	50,0	30,0	32,0	53,4
Bhutan	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bolivia	2006	57,8	60,9	74,4	90,4	68,1	82,6	30,0	70,0	30,0	22,0	49,2
Bosnia and Herzegovina	2006	55,6	55,7	75,2	75,1	47,8	86,1	50,0	70,0	10,0	31,0	54,9
Botswana	2006	68,8	69,6	77,8	73,9	50,5	77,6	70,0	70,0	70,0	60,0	68,9
Brazil	2006	60,9	53,5	69,0	83,8	71,7	76,3	50,0	50,0	50,0	39,0	66,1
Bulgaria	2006	64,1	70,5	65,8	83,2	49,8	80,7	70,0	70,0	30,0	41,0	79,8
Burkina Faso	2006	55,8	39,2	62,2	77,6	87,3	85,9	50,0	50,0	30,0	30,0	45,7
Burma	2006	40,0	20,0	72,2	81,9	97,3	61,4	10,0	10,0	10,0	17,0	20,0
Burundi	2006	48,7	37,0	56,0	70,1	62,6	67,3	50,0	30,0	30,0	30,0	53,7
Cambodia	2006	56,7	43,0	53,4	91,3	90,9	83,7	50,0	70,0	30,0	10,0	44,2
Cameroon	2006	54,6	40,3	54,8	69,4	93,0	83,9	50,0	50,0	30,0	21,0	53,3
Canada	2006	77,4	96,9	83,2	75,3	53,4	85,9	50,0	70,0	90,0	85,0	84,2
Cape Verde	2006	58,6	55,7	36,2	77,1	71,0	89,3	50,0	50,0	70,0	30,0	57,0
Central African Republic	2006	54,2	42,1	49,2	58,8	95,0	87,3	50,0	50,0	30,0	30,0	49,7
Chad	2006	50,0	34,0	57,0	49,8	85,2	83,0	50,0	50,0	30,0	17,0	43,6
Chile	2006	78,0	68,1	77,6	78,6	87,5	86,9	70,0	70,0	90,0	74,0	77,5
China	2006	53,6	43,1	68,0	70,0	86,0	79,4	30,0	30,0	30,0	34,0	65,2
Colombia	2006	60,4	72,1	65,8	66,6	68,3	79,2	50,0	70,0	30,0	38,0	63,8
Comoros	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
"Costa Rica "	2006	65,9	59,4	77,4	83,0	85,2	73,7	70,0	50,0	50,0	49,0	61,2
"Côte d'Ivoire "	2006	56,2	46,4	63,6	52,2	88,4	80,9	50,0	70,0	30,0	20,0	60,3
Croatia	2006	53,6	54,5	78,4	69,6	23,2	81,2	50,0	70,0	30,0	35,0	44,6
Cuba	2006	29,3	10,0	60,2	44,2	0,0	71,5	30,0	10,0	10,0	37,0	20,0
Cyprus	2006	71,8	70,0	82,4	79,1	48,3	84,4	70,0	70,0	90,0	54,0	70,0
Czech Republic	2006	66,4	57,8	82,4	68,8	36,8	85,9	70,0	90,0	70,0	42,0	60,3
Democratic Republic of Congo	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Denmark	2006	75,4	94,6	82,4	35,5	9,3	87,2	70,0	90,0	90,0	95,0	99,9
Djibouti	2006	53,2	38,3	28,6	80,3	60,0	84,8	50,0	70,0	30,0	30,0	59,9
Dominica	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dominican Republic	2006	56,3	57,0	67,4	85,4	90,1	49,3	50,0	50,0	30,0	29,0	54,5
Ecuador	2006	54,6	58,2	67,0	86,2	84,5	76,1	30,0	50,0	30,0	24,0	39,7
Egypt	2006	53,2	39,8	57,6	64,7	72,1	73,6	50,0	30,0	50,0	32,0	62,1
"El Salvador "	2006	69,6	57,9	76,4	86,2	92,2	82,9	70,0	70,0	50,0	42,0	68,6
Equatorial Guinea	2006	51,5	48,2	57,0	75,4	96,7	70,3	30,0	50,0	30,0	10,0	47,5
Eritrea	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Estonia	2006	74,9	81,9	82,4	83,8	57,4	84,7	90,0	90,0	70,0	60,0	49,3
Ethiopia	2006	50,9	54,4	58,0	70,8	61,3	69,8	50,0	30,0	30,0	23,0	62,0
Fiji	2006	58,4	70,8	60,2	76,9	71,9	79,1	30,0	50,0	30,0	30,0	84,8
Finland	2006	72,9	95,4	82,4	61,9	24,4	90,8	70,0	70,0	90,0	97,0	47,4
France	2006	61,1	88,0	82,4	46,6	11,2	85,6	50,0	50,0	70,0	71,0	56,5
Gabon	2006	56,1	53,3	55,2	59,7	84,9	84,3	50,0	30,0	50,0	33,0	60,2
Georgia	2006	64,5	73,9	67,6	94,1	90,8	75,2	50,0	70,0	30,0	20,0	73,6
Germany	2006	70,8	89,1	82,4	60,8	31,7	87,1	90,0	50,0	90,0	82,0	44,4
Ghana	2006	55,6	50,0	55,4	75,6	74,8	64,5	50,0	50,0	50,0	36,0	49,5
Greece	2006	60,1	73,2	82,4	61,0	53,9	78,7	50,0	50,0	50,0	43,0	58,6
"Guatemala "	2006	59,1	49,2	75,2	79,7	94,6	78,1	50,0	50,0	30,0	22,0	62,4
Guinea	2006	52,8	43,8	47,8	70,3	90,0	70,4	30,0	50,0	30,0	25,0	71,0
Guinea-Bissau	2006	46,5	27,2	57,8	81,0	58,7	89,0	50,0	30,0	10,0	10,0	51,8
Guyana	2006	56,6	56,9	63,8	60,3	41,7	80,7	50,0	70,0	50,0	30,0	62,9
Haiti	2006	49,2	36,2	79,2	78,0	93,2	58,6	30,0	30,0	10,0	15,0	62,2
"Honduras "	2006	57,4	55,3	69,4	82,1	78,5	72,1	50,0	70,0	30,0	23,0	44,0
Hong Kong	2006	88,6	90,0	90,0	93,3	87,9	88,3	90,0	90,0	90,0	80,0	86,7
"Hungary "	2006	65,0	70,8	82,4	68,2	27,1	74,3	70,0	70,0	70,0	48,0	69,5
Iceland	2006	75,8	95,1	78,2	73,7	32,0	88,8	50,0	90,0	90,0	95,0	65,4
India	2006	52,2	49,6	24,0	76,1	74,6	77,6	50,0	30,0	50,0	28,0	62,3
Indonesia	2006	51,9	46,6	74,6	77,3	86,0	73,6	30,0	30,0	30,0	20,0	51,0
Iran	2006	45,0	56,1	55,4	81,2	85,1	60,1	10,0	10,0	10,0	29,0	53,0
Iraq	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ireland	2006	82,2	93,7	82,4	72,0	64,7	84,4	90,0	90,0	90,0	75,0	79,6
Israel	2006	64,4	69,9	81,0	55,2	28,3	90,9	70,0	50,0	70,0	64,0	65,1
Italy	2006	62,0	78,4	82,4	52,0	29,1	85,2	70,0	50,0	50,0	48,0	74,6
"Jamaica "	2006	66,4	82,6	65,4	77,9	54,4	72,9	90,0	70,0	50,0	33,0	68,2
Japan	2006	73,3	87,2	80,2	70,9	58,3	92,5	70,0	50,0	70,0	69,0	84,4
Jordan	2006	63,7	56,0	62,2	78,2	58,3	84,4	50,0	70,0	50,0	53,0	74,8
Kazakhstan	2006	60,2	55,9	69,2	81,6	83,9	73,6	30,0	70,0	30,0	22,0	85,4
Kenya	2006	59,7	65,2	64,4	78,9	82,6	74,7	50,0	50,0	50,0	21,0	60,0
Kiribati	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kuwait	2006	66,5	71,0	77,2	99,9	57,1	83,1	50,0	50,0	50,0	46,0	80,3
"Kyrgyz Republic "	2006	61,0	60,7	76,4	90,0	81,3	77,9	50,0	50,0	30,0	22,0	71,6
Laos	2006	47,5	51,1	58,0	70,8	89,4	63,3	30,0	30,0	10,0	10,0	62,5
Latvia	2006	66,9	75,0	82,4	83,5	51,0	80,8	70,0	70,0	50,0	40,0	66,6
Lebanon	2006	57,5	56,7	72,4	91,3	54,6	82,0	30,0	70,0	30,0	27,0	61,0
Lesotho	2006	54,7	58,2	77,8	63,9	47,8	74,2	30,0	50,0	50,0	30,0	65,4
Liberia	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Libya	2006	33,2	20,0	34,6	52,2	41,4	69,3	30,0	30,0	10,0	25,0	20,0
Liechtenstein	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lithuania	2006	71,8	85,2	82,4	82,9	63,9	90,4	70,0	90,0	50,0	46,0	57,1
Luxembourg	2006	75,3	76,9	82,4	65,7	36,8	85,7	90,0	90,0	90,0	84,0	51,4
Macau	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Macedonia	2006	59,2	54,4	68,8	80,4	65,1	90,3	50,0	70,0	30,0	27,0	56,4
Madagascar	2006	61,0	38,0	77,8	81,0	88,6	74,5	70,0	50,0	50,0	31,0	49,3
Malawi	2006	55,4	53,9	64,6	70,4	60,0	68,6	50,0	50,0	50,0	28,0	58,4
"Malaysia "	2006	61,6	68,6	76,6	81,2	75,1	82,6	30,0	30,0	50,0	50,0	72,2
Maldives	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mali	2006	54,1	35,3	63,8	69,7	84,8	81,2	50,0	30,0	30,0	32,0	64,0
Malta	2006	67,3	70,0	82,4	62,2	35,4	85,0	50,0	70,0	90,0	68,0	60,0
Mauritania	2006	55,7	36,0	62,6	81,7	70,0	76,5	70,0	50,0	30,0	30,0	50,5
Mauritius	2006	67,4	74,7	59,0	81,7	79,1	72,1	70,0	50,0	70,0	41,0	76,8
Mexico	2006	64,7	79,7	57,4	78,4	82,1	81,3	50,0	70,0	50,0	36,0	62,0
Micronesia	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Moldova	2006	58,0	67,4	79,4	81,9	66,1	68,4	30,0	50,0	50,0	23,0	63,4
Mongolia	2006	62,4	73,3	77,0	76,9	46,6	79,5	70,0	70,0	30,0	30,0	70,8
Montenegro	2006	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
